Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999895	0.0162329	0.26642	0.175713	0.862753	2.38222	0.0786286	204.982	0.824074	0.611111	0.533333	0.233333	0.55	0.372222	0.266667	0.7	0.294444	0.372222	0.605556	0.3	0.255556	0.0444444
All	0.999934	0.00171914	0.509221	0.327388	0.250901	3.68236	0.938281	206.108	0.894444	0.522222	0.587037	0.222222	0.483333	0.477778	0.372222	0.788889	0.172222	0.494444	0.627778	0.266667	0.222222	0.0444444
All	0.999871	0.134164	0.369781	0.183049	0.673172	1.59472	0.44147	205.984	0.864815	0.6	0.468519	0.311111	0.6	0.294444	0.261111	0.727778	0.244444	0.405556	0.694444	0.15	0.144444	0.00555556
All	0.999856	0.0651665	0.462438	0.27133	0.207387	2.25907	0.119427	210.286	0.755556	0.6	0.45	0.244444	0.544444	0.311111	0.233333	0.75	0.211111	0.316667	0.722222	0.155556	0.155556	0
All	0.99995	0.0920564	0.113735	0.091391	0.246548	3.65462	0.0647091	212.906	0.894444	0.833333	0.748148	0.644444	0.3	0.7	0.644444	0.705556	0.25	0.694444	0.883333	0.116667	0.00555556	0.111111
All	0.999851	0.194429	0.0153992	0.0110248	0.101958	1.1848	0.966041	215.617	0.785185	0.681481	0.533333	0.488889	0.383333	0.611111	0.511111	0.661111	0.222222	0.511111	0.8	0.161111	0.0722222	0.0888889
All	0.999945	0.0784212	0.687936	0.515206	0.818508	3.32707	0.723505	206.383	0.411111	0.474074	0.55	0.344444	0.488889	0.466667	0.394444	0.711111	0.227778	0.333333	0.772222	0.0722222	0.0611111	0.0111111
All	0.999909	0.0972763	0.56047	0.4388	0.884919	1.54484	0.349343	214.344	0.677778	0.657407	0.537037	0.277778	0.622222	0.305556	0.366667	0.744444	0.233333	0.422222	0.633333	0.338889	0.266667	0.0722222
All	0.999975	0.120303	0.714102	0.556404	0.683952	3.10411	0.540045	212.727	0.457407	0.553704	0.440741	0.622222	0.0944444	0.905556	0.772222	0.666667	0.333333	0.288889	0.666667	0.166667	0	0.166667
All	0.999879	0.0251997	0.734024	0.455459	0.762391	3.40696	0.77892	213.365	0.653704	0.605556	0.505556	0.2	0.538889	0.344444	0.255556	0.672222	0.305556	0.333333	0.622222	0.294444	0.25	0.0444444
All	0.999908	0.179644	0.553326	0.248002	0.0623361	2.63038	0.0694767	203.67	0.77963	0.687037	0.55	0.283333	0.522222	0.411111	0.3	0.722222	0.261111	0.438889	0.605556	0.322222	0.3	0.0222222
All	0.999846	0.18551	0.744617	0.253119	0.291039	3.82549	0.73086	204.428	0.814815	0.57963	0.442593	0.122222	0.572222	0.288889	0.25	0.733333	0.238889	0.311111	0.75	0.177778	0.133333	0.0444444
All	0.999973	0.048396	0.695281	0.536326	0.54316	4.15977	0.993552	203.772	0.451852	0.544444	0.462963	0.6	0.138889	0.861111	0.772222	0.672222	0.327778	0.261111	0.694444	0.166667	0	0.166667
